Port,Plant,Cargo,Vessel_Size,Weather,Labor_Action,Rake_Type,Multi_Port_Discharge,Port_Congestion_Index,Rake_Demand,Rake_Availability,Yard_Capacity,Yard_Usage,Vessel_Queue,Date,Delay_Hours,Delay_Severity,High_Risk,Route_Recommendation
Dhamra,SAIL_Rourkela,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,7,30,48,65,95,5,2021-07-07,52.76903758089213,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,SAIL_Rourkela,Coking_Coal,Handymax,Clear,Low,GPWIS,0,5,24,22,94,36,5,2021-07-07,14.83776059121087,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,SAIL_Rourkela,Limestone,Panamax,Clear,High,GPWIS,0,8,19,45,44,31,10,2021-07-08,63.58043248284153,2,1,Recommend: Transshipment away from congested port
Paradip,Tata_Steel_Kalinganagar,Coking_Coal,Capesize,Rain,Low,Standard_IR,1,1,27,9,20,28,6,2021-07-08,90.61294695569794,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Vizag_Steel,Limestone,Handymax,Clear,Low,Standard_IR,0,1,32,12,88,18,8,2021-07-09,40.444802315181036,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Rain,Low,GPWIS,0,5,40,27,59,28,13,2021-07-09,48.26903025875768,2,1,Recommend: Divert to alternative safe Port
Haldia,Tata_Steel_Kalinganagar,Coking_Coal,Handymax,Cyclone,Low,Standard_IR,0,1,35,7,87,11,5,2021-07-10,92.46302946779413,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Tata_Steel_Kalinganagar,Limestone,Handymax,Clear,Low,GPWIS,0,3,11,48,88,70,9,2021-07-10,22.375368021249255,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,Vizag_Steel,Limestone,Handymax,Clear,Low,Captive,0,7,33,33,73,79,6,2021-07-11,23.587334493271793,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Medium,GPWIS,0,9,16,35,35,95,8,2021-07-11,59.27652301997485,2,1,Recommend: Transshipment away from congested port
Vizag,Vizag_Steel,Coking_Coal,Panamax,Clear,Low,Captive,1,10,48,41,88,68,6,2021-07-11,56.38254129287904,2,1,Recommend: Transshipment away from congested port
Paradip,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Clear,Low,GPWIS,1,6,48,45,82,80,5,2021-07-12,21.03648899240936,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,SAIL_Rourkela,Coking_Coal,Handymax,Clear,Low,Captive,0,8,41,24,37,79,2,2021-07-12,62.73495494880772,2,1,Recommend: Transshipment away from congested port
Dhamra,SAIL_Rourkela,Coking_Coal,Panamax,Rain,Low,Captive,0,8,35,7,36,42,13,2021-07-13,77.48504189762325,2,1,Recommend: Divert to alternative safe Port
Gangavaram,Tata_Steel_Kalinganagar,Limestone,Capesize,Clear,Low,Captive,0,6,32,27,23,87,0,2021-07-13,31.194575224896642,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,SAIL_Rourkela,Iron_Ore,Capesize,Clear,Low,Standard_IR,1,4,23,44,28,74,9,2021-07-14,34.1527772521469,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Low,Standard_IR,0,4,38,25,50,34,8,2021-07-14,10.732054043799604,0,0,Action: Normal secure operations
Haldia,SAIL_Rourkela,Iron_Ore,Panamax,Clear,Low,Captive,0,4,34,17,24,79,6,2021-07-14,55.95631235043391,2,1,Recommend: Expedite alternative multi-modal transport via truck
Paradip,JSW_Vijayanagar,Iron_Ore,Handymax,Rain,Medium,Captive,0,1,11,9,61,27,2,2021-07-15,64.7966552085695,2,1,Recommend: Divert to alternative safe Port
Gangavaram,Vizag_Steel,Coking_Coal,Capesize,Clear,Low,GPWIS,0,6,40,12,35,37,14,2021-07-15,31.933929818354486,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,JSW_Vijayanagar,Limestone,Capesize,Clear,Low,Standard_IR,0,2,11,29,60,72,9,2021-07-16,46.833448981525,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Vizag_Steel,Limestone,Capesize,Clear,Low,Standard_IR,0,6,32,43,99,58,8,2021-07-16,33.311717754608964,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Vizag_Steel,Coking_Coal,Handymax,Clear,Low,Captive,0,1,20,41,49,75,2,2021-07-17,22.01243832258437,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,Tata_Steel_Kalinganagar,Iron_Ore,Handymax,Clear,Low,GPWIS,0,9,38,45,45,49,2,2021-07-17,17.773484772925027,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Tata_Steel_Kalinganagar,Coking_Coal,Capesize,Rain,Medium,Captive,0,6,44,9,68,94,12,2021-07-18,67.33816860017498,2,1,Recommend: Divert to alternative safe Port
Dhamra,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Clear,Low,Captive,1,7,18,12,50,96,13,2021-07-18,59.3246105554354,2,1,Recommend: Expedite alternative multi-modal transport via truck
Haldia,SAIL_Rourkela,Limestone,Handymax,Rain,Low,Standard_IR,0,1,41,48,69,75,6,2021-07-18,63.734610129769315,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,Tata_Steel_Kalinganagar,Iron_Ore,Handymax,Clear,Medium,Standard_IR,0,8,39,8,34,89,1,2021-07-19,79.52669426930136,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Vizag_Steel,Iron_Ore,Panamax,Clear,Low,GPWIS,0,5,24,45,71,13,9,2021-07-19,0.0,0,0,Action: Normal secure operations
Gangavaram,JSW_Vijayanagar,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,5,23,26,57,43,13,2021-07-20,71.87609926389135,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,SAIL_Rourkela,Iron_Ore,Panamax,Clear,Low,GPWIS,0,6,26,18,57,14,6,2021-07-20,10.034894415065047,0,0,Action: Normal secure operations
Gangavaram,Tata_Steel_Kalinganagar,Coking_Coal,Capesize,Clear,Low,Captive,0,7,31,23,79,31,6,2021-07-21,42.18764759504838,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,SAIL_Rourkela,Coking_Coal,Handymax,Rain,Low,Standard_IR,0,7,39,17,39,29,0,2021-07-21,78.48944205304412,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,SAIL_Rourkela,Limestone,Panamax,Clear,Medium,Standard_IR,1,5,26,39,63,56,12,2021-07-21,119.62363308864376,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Clear,Low,Captive,0,1,25,8,82,86,9,2021-07-22,34.913634931986955,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,SAIL_Rourkela,Coking_Coal,Panamax,Clear,Low,GPWIS,0,9,17,37,69,43,10,2021-07-22,43.19404879594875,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,JSW_Vijayanagar,Limestone,Handymax,Clear,Low,Standard_IR,0,6,48,26,41,53,1,2021-07-23,36.92738063773098,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Vizag_Steel,Limestone,Capesize,Clear,Low,Standard_IR,1,9,40,5,91,15,4,2021-07-23,109.96280741350355,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,GPWIS,0,2,42,20,28,38,3,2021-07-24,26.81631581264228,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Vizag_Steel,Limestone,Capesize,Clear,Low,Captive,0,4,21,15,73,65,13,2021-07-24,11.639025336292436,0,0,Action: Normal secure operations
Vizag,SAIL_Rourkela,Limestone,Panamax,Clear,High,Standard_IR,0,10,47,43,39,68,9,2021-07-25,114.97971738967865,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,SAIL_Rourkela,Coking_Coal,Panamax,Clear,Medium,Captive,1,3,21,8,34,62,13,2021-07-25,88.34813842331693,2,1,Recommend: Expedite alternative multi-modal transport via truck
Haldia,Tata_Steel_Kalinganagar,Limestone,Handymax,Clear,Medium,Standard_IR,0,4,34,33,67,10,2,2021-07-25,38.85763176689222,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,JSW_Vijayanagar,Limestone,Panamax,Clear,Medium,Captive,0,8,27,48,54,57,13,2021-07-26,96.35984458151394,2,1,Recommend: Transshipment away from congested port
Vizag,SAIL_Rourkela,Coking_Coal,Panamax,Clear,Low,Standard_IR,1,3,28,42,86,16,10,2021-07-26,43.29049017094176,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Vizag_Steel,Coking_Coal,Capesize,Cyclone,Low,Standard_IR,0,8,12,28,79,95,7,2021-07-27,165.5621863693481,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,SAIL_Rourkela,Iron_Ore,Panamax,Clear,Medium,Captive,1,6,44,13,53,41,6,2021-07-27,83.64443664788809,2,1,Recommend: Expedite alternative multi-modal transport via truck
Dhamra,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,GPWIS,0,4,14,12,92,87,8,2021-07-28,47.7898150462659,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,Vizag_Steel,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,7,44,18,73,70,2,2021-07-28,63.896309220471835,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Vizag_Steel,Coking_Coal,Panamax,Clear,Medium,Standard_IR,0,9,30,41,99,97,8,2021-07-29,90.62202254094257,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,SAIL_Rourkela,Limestone,Panamax,Rain,Low,Standard_IR,0,5,46,26,38,60,0,2021-07-29,90.99756021464432,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,SAIL_Rourkela,Coking_Coal,Handymax,Clear,Low,Standard_IR,0,5,36,19,31,66,9,2021-07-29,82.03595014077567,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Tata_Steel_Kalinganagar,Limestone,Panamax,Cyclone,Low,Captive,0,3,25,19,45,28,8,2021-07-30,93.01949361317841,2,1,Recommend: Divert to alternative safe Port
Haldia,Vizag_Steel,Iron_Ore,Panamax,Rain,Low,GPWIS,0,10,37,10,42,36,11,2021-07-30,76.67568888117877,2,1,Recommend: Divert to alternative safe Port
Vizag,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Clear,High,Standard_IR,0,4,34,5,52,72,11,2021-07-31,115.51890845041379,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,Captive,0,5,42,24,76,69,0,2021-07-31,12.548648260519968,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,Standard_IR,1,1,26,45,49,70,13,2021-08-01,46.295440470498015,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Vizag_Steel,Limestone,Panamax,Clear,Low,Standard_IR,0,7,39,40,42,70,7,2021-08-01,55.61163341492454,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Vizag_Steel,Coking_Coal,Capesize,Clear,Medium,Standard_IR,1,8,13,6,93,96,13,2021-08-01,132.44571477783026,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Tata_Steel_Kalinganagar,Limestone,Handymax,Clear,Low,Standard_IR,1,9,18,6,62,30,9,2021-08-02,83.5453557721743,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,JSW_Vijayanagar,Iron_Ore,Handymax,Clear,Low,GPWIS,0,6,11,10,55,54,13,2021-08-02,39.05284208132597,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,3,40,7,85,53,0,2021-08-03,15.270591241657895,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,Vizag_Steel,Iron_Ore,Handymax,Clear,Low,Standard_IR,0,2,34,11,72,10,5,2021-08-03,38.94516001190612,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,JSW_Vijayanagar,Coking_Coal,Handymax,Rain,Medium,Captive,1,5,46,24,79,53,8,2021-08-04,52.45363440160382,2,1,Recommend: Divert to alternative safe Port
Haldia,Vizag_Steel,Iron_Ore,Panamax,Clear,Medium,GPWIS,1,9,45,45,56,71,2,2021-08-04,62.17476447225284,2,1,Recommend: Transshipment away from congested port
Paradip,Vizag_Steel,Coking_Coal,Panamax,Rain,Low,GPWIS,0,1,14,45,80,70,5,2021-08-05,0.0,0,0,Action: Normal secure operations
Dhamra,JSW_Vijayanagar,Iron_Ore,Panamax,Clear,Low,Captive,0,1,33,9,72,88,2,2021-08-05,17.16650463889105,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,Tata_Steel_Kalinganagar,Iron_Ore,Capesize,Clear,High,Captive,0,10,33,29,31,98,10,2021-08-05,141.3436831144036,2,1,Recommend: Transshipment away from congested port
Paradip,JSW_Vijayanagar,Limestone,Capesize,Clear,Medium,Standard_IR,1,10,40,22,86,92,4,2021-08-06,117.87164669581136,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,SAIL_Rourkela,Coking_Coal,Panamax,Clear,Medium,Standard_IR,0,3,38,42,54,88,13,2021-08-06,34.64615172320653,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,SAIL_Rourkela,Iron_Ore,Handymax,Clear,Medium,Standard_IR,0,3,46,5,57,59,10,2021-08-07,64.48743915830002,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,Standard_IR,1,5,28,29,43,84,13,2021-08-07,61.543221240674356,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,SAIL_Rourkela,Coking_Coal,Capesize,Rain,Low,GPWIS,0,4,32,21,59,50,6,2021-08-08,34.024342973218964,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Low,Standard_IR,1,6,44,19,84,42,10,2021-08-08,61.46658783568923,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Low,Captive,1,8,15,9,76,96,9,2021-08-08,77.63257783919093,2,1,Recommend: Transshipment away from congested port
Gangavaram,JSW_Vijayanagar,Limestone,Panamax,Rain,Low,GPWIS,0,8,15,21,91,21,11,2021-08-09,72.59030871751766,2,1,Recommend: Divert to alternative safe Port
Gangavaram,Vizag_Steel,Limestone,Handymax,Rain,Low,Captive,0,4,46,25,98,11,3,2021-08-09,22.34414721410744,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,Vizag_Steel,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,7,10,47,91,23,6,2021-08-10,41.29789137013515,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,SAIL_Rourkela,Limestone,Panamax,Clear,Low,Standard_IR,1,1,39,27,64,30,3,2021-08-10,35.153788626023136,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Vizag_Steel,Iron_Ore,Handymax,Clear,Low,Standard_IR,0,5,37,21,98,88,0,2021-08-11,63.15077750817252,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Vizag_Steel,Iron_Ore,Capesize,Rain,Low,GPWIS,0,6,17,14,32,43,4,2021-08-11,41.35344664442987,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,Tata_Steel_Kalinganagar,Coking_Coal,Capesize,Clear,Low,Captive,0,4,34,5,25,94,10,2021-08-12,37.79286985001951,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,JSW_Vijayanagar,Limestone,Capesize,Clear,Low,GPWIS,1,6,42,41,90,73,14,2021-08-12,56.40034582313943,2,1,Recommend: Expedite alternative multi-modal transport via truck
Haldia,JSW_Vijayanagar,Iron_Ore,Handymax,Rain,Low,Standard_IR,0,8,47,11,66,32,9,2021-08-12,56.83453486454439,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Clear,High,Standard_IR,1,6,23,16,63,94,12,2021-08-13,138.80373648243932,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,Tata_Steel_Kalinganagar,Iron_Ore,Capesize,Cyclone,Low,Standard_IR,0,3,20,44,51,59,14,2021-08-13,124.70733841858723,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,JSW_Vijayanagar,Iron_Ore,Capesize,Clear,Low,Standard_IR,0,9,11,5,22,23,11,2021-08-14,100.88297340962384,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,Vizag_Steel,Limestone,Panamax,Rain,Low,Standard_IR,0,3,39,24,73,94,12,2021-08-14,94.32596035148376,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,SAIL_Rourkela,Limestone,Panamax,Rain,Low,Standard_IR,0,2,22,8,23,14,5,2021-08-15,62.80603237678609,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,SAIL_Rourkela,Limestone,Panamax,Clear,Low,Standard_IR,0,5,13,35,57,55,1,2021-08-15,41.15134012971831,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,SAIL_Rourkela,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,4,39,48,97,85,14,2021-08-15,9.95227664971835,0,0,Action: Normal secure operations
Gangavaram,Vizag_Steel,Iron_Ore,Handymax,Clear,Low,Standard_IR,0,10,16,30,98,75,12,2021-08-16,70.13929685875962,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,Standard_IR,1,10,47,16,36,31,11,2021-08-16,81.02055276004191,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Tata_Steel_Kalinganagar,Coking_Coal,Handymax,Clear,Low,GPWIS,0,2,12,26,56,79,8,2021-08-17,0.0,0,0,Action: Normal secure operations
Haldia,JSW_Vijayanagar,Limestone,Handymax,Clear,High,Standard_IR,0,6,18,5,55,11,6,2021-08-17,106.72397217808538,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,Vizag_Steel,Limestone,Panamax,Clear,Medium,Captive,0,2,23,5,77,38,3,2021-08-18,50.90446271371184,2,1,Recommend: Expedite alternative multi-modal transport via truck
Dhamra,Tata_Steel_Kalinganagar,Limestone,Panamax,Clear,Low,Captive,0,10,20,7,60,70,14,2021-08-18,65.5900322295543,2,1,Recommend: Transshipment away from congested port
Paradip,SAIL_Rourkela,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,10,28,17,49,73,14,2021-08-19,90.88840321560595,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,SAIL_Rourkela,Coking_Coal,Panamax,Clear,Low,GPWIS,0,8,23,25,86,25,11,2021-08-19,57.14137352920467,2,1,Recommend: Transshipment away from congested port
Haldia,Vizag_Steel,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,1,46,16,27,80,11,2021-08-19,59.667963960322325,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Vizag_Steel,Iron_Ore,Handymax,Clear,Low,Standard_IR,0,10,17,17,71,23,12,2021-08-20,55.86323074463619,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Tata_Steel_Kalinganagar,Iron_Ore,Panamax,Rain,Low,GPWIS,0,1,16,45,44,52,1,2021-08-20,0.0,0,0,Action: Normal secure operations
Vizag,Tata_Steel_Kalinganagar,Iron_Ore,Capesize,Clear,Low,Captive,0,10,16,22,71,85,3,2021-08-21,78.22527331005837,2,1,Recommend: Transshipment away from congested port
Vizag,JSW_Vijayanagar,Iron_Ore,Panamax,Clear,Low,Standard_IR,0,6,12,37,78,52,13,2021-08-21,53.268609018134086,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,SAIL_Rourkela,Coking_Coal,Panamax,Cyclone,Low,Captive,1,1,12,10,49,79,4,2021-08-22,117.91266019364069,2,1,Recommend: Divert to alternative safe Port
Dhamra,JSW_Vijayanagar,Limestone,Panamax,Clear,Medium,Captive,0,8,27,29,86,64,1,2021-08-22,11.283952592844393,0,0,Action: Normal secure operations
Gangavaram,JSW_Vijayanagar,Iron_Ore,Capesize,Rain,Low,Captive,0,5,42,27,23,85,0,2021-08-22,83.14994177731138,2,1,Recommend: Divert to alternative safe Port
Gangavaram,Vizag_Steel,Coking_Coal,Panamax,Rain,Low,Standard_IR,1,5,37,41,82,85,10,2021-08-23,73.14053163418382,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,Vizag_Steel,Iron_Ore,Handymax,Rain,Medium,Standard_IR,0,3,46,28,76,40,3,2021-08-23,82.38857832966768,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Medium,Standard_IR,0,1,45,30,51,83,12,2021-08-24,41.50348159964543,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,SAIL_Rourkela,Limestone,Panamax,Rain,Low,Captive,0,1,25,8,98,49,5,2021-08-24,16.378342540488852,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,Vizag_Steel,Coking_Coal,Handymax,Rain,Low,Standard_IR,1,4,24,42,70,36,0,2021-08-25,44.8381891450503,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,Standard_IR,0,9,38,39,82,61,0,2021-08-25,34.67237726951156,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,JSW_Vijayanagar,Iron_Ore,Handymax,Clear,Low,Captive,0,9,27,15,99,16,8,2021-08-26,35.659604917009645,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,JSW_Vijayanagar,Iron_Ore,Panamax,Clear,Medium,Standard_IR,0,1,28,40,20,55,4,2021-08-26,74.30232922900186,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,Standard_IR,0,3,38,29,38,42,1,2021-08-26,31.9072921044759,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,JSW_Vijayanagar,Limestone,Capesize,Clear,Low,GPWIS,0,2,36,5,82,14,13,2021-08-27,48.93539960370943,2,1,Recommend: Expedite alternative multi-modal transport via truck
Paradip,JSW_Vijayanagar,Coking_Coal,Handymax,Clear,Low,Standard_IR,0,4,15,24,54,17,10,2021-08-27,43.83322094911021,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Vizag_Steel,Coking_Coal,Handymax,Clear,Low,GPWIS,0,7,16,34,45,70,1,2021-08-28,0.0,0,0,Action: Normal secure operations
Vizag,SAIL_Rourkela,Iron_Ore,Capesize,Clear,Low,Captive,0,3,36,8,32,81,3,2021-08-28,16.866502486679806,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Paradip,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,Captive,1,1,28,27,42,69,10,2021-08-29,34.207051061808656,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Tata_Steel_Kalinganagar,Limestone,Handymax,Clear,Low,Standard_IR,0,1,26,39,54,94,1,2021-08-29,17.800242782618387,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Vizag_Steel,Limestone,Handymax,Rain,Medium,GPWIS,0,3,20,46,31,33,3,2021-08-29,58.29692492187796,2,1,Recommend: Divert to alternative safe Port
Vizag,Vizag_Steel,Iron_Ore,Capesize,Clear,High,Standard_IR,0,6,14,26,28,16,14,2021-08-30,107.92950636661003,2,1,Recommend: Rake priority swap or Coastal Barge routing
Vizag,JSW_Vijayanagar,Coking_Coal,Handymax,Clear,Low,Captive,0,4,11,35,97,70,10,2021-08-30,40.35622703308026,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Vizag_Steel,Coking_Coal,Handymax,Clear,Low,Captive,0,1,21,5,86,92,12,2021-08-31,30.122843412179172,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,JSW_Vijayanagar,Coking_Coal,Panamax,Clear,Low,Standard_IR,0,7,20,8,63,45,5,2021-08-31,48.57456363621404,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,SAIL_Rourkela,Coking_Coal,Panamax,Cyclone,Low,Standard_IR,0,5,37,34,40,38,5,2021-09-01,115.71467902525482,2,1,Recommend: Rake priority swap or Coastal Barge routing
Dhamra,SAIL_Rourkela,Iron_Ore,Panamax,Rain,Low,GPWIS,0,2,19,23,80,36,6,2021-09-01,12.025759875713193,1,0,Action: Monitor tightly / Optimize port yard storage buffer
Dhamra,Vizag_Steel,Limestone,Handymax,Clear,High,GPWIS,0,8,16,5,26,96,3,2021-09-02,104.16767966987389,2,1,Recommend: Transshipment away from congested port
Paradip,Vizag_Steel,Coking_Coal,Handymax,Cyclone,Low,Captive,0,7,23,23,30,29,9,2021-09-02,137.01845702103367,2,1,Recommend: Divert to alternative safe Port
Haldia,Tata_Steel_Kalinganagar,Iron_Ore,Handymax,Clear,High,Standard_IR,0,8,22,25,64,79,2,2021-09-02,124.76987214610332,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Vizag_Steel,Coking_Coal,Handymax,Clear,Medium,Standard_IR,1,10,14,26,51,85,3,2021-09-03,108.16449488348027,2,1,Recommend: Rake priority swap or Coastal Barge routing
Paradip,Tata_Steel_Kalinganagar,Coking_Coal,Panamax,Clear,Medium,Captive,0,6,17,6,55,85,11,2021-09-03,66.11722840818767,2,1,Recommend: Expedite alternative multi-modal transport via truck
Dhamra,SAIL_Rourkela,Limestone,Panamax,Rain,Medium,Captive,0,7,10,10,56,12,4,2021-09-04,60.714922306811715,2,1,Recommend: Divert to alternative safe Port
Haldia,SAIL_Rourkela,Coking_Coal,Handymax,Clear,Low,Standard_IR,0,9,14,25,94,48,3,2021-09-04,67.66838821227235,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,SAIL_Rourkela,Limestone,Panamax,Rain,Low,Standard_IR,0,9,19,23,96,54,0,2021-09-05,55.1188506941068,2,1,Recommend: Rake priority swap or Coastal Barge routing
Haldia,JSW_Vijayanagar,Limestone,Panamax,Clear,Low,Standard_IR,1,6,20,37,60,92,2,2021-09-05,59.62344242324069,2,1,Recommend: Rake priority swap or Coastal Barge routing
Gangavaram,Tata_Steel_Kalinganagar,Iron_Ore,Capesize,Clear,Low,Captive,0,2,24,31,68,77,2,2021-09-06,7.1376849411588825,0,0,Action: Normal secure operations
Dhamra,Vizag_Steel,Limestone,Capesize,Clear,Low,Standard_IR,0,2,48,41,34,40,10,2021-09-06,35.51253680812289,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Haldia,JSW_Vijayanagar,Limestone,Capesize,Rain,Low,GPWIS,0,2,38,33,32,47,4,2021-09-06,41.74794556881752,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Gangavaram,Tata_Steel_Kalinganagar,Iron_Ore,Handymax,Clear,Low,GPWIS,1,6,34,32,72,15,12,2021-09-07,35.46823988880785,1,1,Action: Monitor tightly / Optimize port yard storage buffer
Vizag,Vizag_Steel,Limestone,Handymax,Clear,High,Standard_IR,0,2,15,38,52,17,13,2021-09-07,90.11177296215939,2,1,Recommend: Rake priority swap or Coastal Barge routing
